index	 |	 c12	 c1t	 c1b	 c1tb	 c1e	 
118	 |	 -0.0578945	 -0.0112675	 -0.0108725	 -8.39e-06	 -0.00655119	 
119	 |	 -0.0628241	 -0.012898	 -0.0129944	 -4.911e-05	 -0.00230737	 
120	 |	 -0.0633844	 -0.0138855	 -0.0141538	 -5.098e-05	 0	 
121	 |	 -0.0397125	 -0.0127749	 -0.0121898	 -3.287e-05	 -0.00532175	 
122	 |	 -0.0437831	 -0.0143872	 -0.0142665	 -8.031e-05	 -0.0019668	 
123	 |	 -0.0441893	 -0.0152443	 -0.0152584	 -9.764e-05	 0	 
124	 |	 -0.0297429	 -0.014254	 -0.0134788	 -0.00011	 -0.00438477	 
125	 |	 -0.0328226	 -0.0159118	 -0.0155805	 -0.00016346	 -0.00164086	 
126	 |	 -0.0332583	 -0.0166782	 -0.0164465	 -0.00016623	 0	 
127	 |	 -0.023144	 -0.0157207	 -0.0146819	 -0.00027117	 -0.00362616	 
128	 |	 -0.0257429	 -0.0172128	 -0.0167689	 -0.00033766	 -0.00124328	 
129	 |	 -0.026252	 -0.0178088	 -0.0174376	 -0.00034613	 0	 
130	 |	 -0.0147512	 -0.0180941	 -0.0168455	 -0.00096632	 -0.00246492	 
131	 |	 -0.0166633	 -0.0196155	 -0.0189156	 -0.00105628	 -0.00084865	 
132	 |	 -0.01731	 -0.0198914	 -0.0193391	 -0.00107868	 0	 
133	 |	 -0.00821666	 -0.0204515	 -0.0192377	 -0.0030639	 -0.00135145	 
134	 |	 -0.00930183	 -0.0221584	 -0.0213567	 -0.00326862	 -0.00045728	 
135	 |	 -0.0097312	 -0.0225211	 -0.0217401	 -0.00328083	 0	 
136	 |	 -0.00392421	 -0.0225086	 -0.021261	 -0.00768993	 -0.00067881	 
137	 |	 -0.00454306	 -0.0240245	 -0.0232888	 -0.00784886	 -0.00020383	 
138	 |	 -0.0046607	 -0.024452	 -0.0237341	 -0.00784954	 0	 
139	 |	 -0.00184906	 -0.0238346	 -0.0223329	 -0.0137923	 -0.00031475	 
140	 |	 -0.0022263	 -0.0251883	 -0.0244281	 -0.0138921	 -9.556e-05	 
141	 |	 -0.00243728	 -0.0251796	 -0.0246132	 -0.0139326	 0	 
142	 |	 0	 -0.0247949	 -0.0233509	 -0.187513	 0	 
143	 |	 0	 -0.0262691	 -0.025458	 -0.188384	 0	 
144	 |	 0	 -0.026393	 -0.0258718	 -0.187752	 0	 
145	 |	 -0.197215	 -0.00838938	 -0.00816002	 2.72e-06	 -0.00317402	 
146	 |	 -0.200205	 -0.0098139	 -0.0102066	 -2.834e-05	 -0.00125902	 
147	 |	 -0.20106	 -0.0104177	 -0.0109206	 -3.09e-05	 0	 
148	 |	 -0.121008	 -0.00901407	 -0.00872275	 2.76e-06	 -0.00295007	 
149	 |	 -0.124115	 -0.0106129	 -0.0107035	 -3.024e-05	 -0.00121024	 
150	 |	 -0.124487	 -0.0111949	 -0.0113756	 -3.163e-05	 0	 
151	 |	 -0.111312	 -0.00917128	 -0.00886255	 2.66e-06	 -0.00289368	 
152	 |	 -0.114345	 -0.0107738	 -0.010839	 -2.957e-05	 -0.00120083	 
153	 |	 -0.11481	 -0.0113427	 -0.0115092	 -3.625e-05	 0	 
154	 |	 -0.0633444	 -0.0107812	 -0.01028	 -2.2e-06	 -0.00236525	 
155	 |	 -0.0654886	 -0.0123592	 -0.0122675	 -3.718e-05	 -0.00104169	 
156	 |	 -0.066191	 -0.0128717	 -0.0128477	 -4.197e-05	 0	 
157	 |	 -0.0439037	 -0.0123547	 -0.0116796	 -3.153e-05	 -0.00201234	 
158	 |	 -0.0460065	 -0.0139158	 -0.0136917	 -7.117e-05	 -0.00085929	 
159	 |	 -0.0465493	 -0.0143437	 -0.0141853	 -7.64e-05	 0	 
160	 |	 -0.0332755	 -0.014019	 -0.0130182	 -0.00011988	 -0.00171617	 
161	 |	 -0.0349365	 -0.0154101	 -0.015041	 -0.0001664	 -0.00072973	 
162	 |	 -0.0351122	 -0.01586	 -0.0154682	 -0.00016903	 0	 
163	 |	 -0.0257634	 -0.0152675	 -0.0143278	 -0.00030797	 -0.00147695	 
164	 |	 -0.0273476	 -0.0168638	 -0.0163277	 -0.00035233	 -0.0006002	 
165	 |	 -0.027571	 -0.0171962	 -0.0167446	 -0.00070639	 0	 
166	 |	 -0.0166125	 -0.0176849	 -0.0165316	 -0.00108987	 -0.00112392	 
167	 |	 -0.0175728	 -0.0192882	 -0.0186094	 -0.00114476	 -0.00046932	 
168	 |	 -0.0179655	 -0.0196423	 -0.019017	 -0.00115282	 0	 
169	 |	 -0.00913063	 -0.020338	 -0.0190797	 -0.00342069	 -0.00061553	 
170	 |	 -0.00971627	 -0.0219159	 -0.0211529	 -0.00348985	 -0.00021354	 
171	 |	 -0.00987697	 -0.0222068	 -0.0215758	 -0.00350534	 0	 
